Key Concept,Distractors
Rehearsal,"Practice session, run-through, trial"
Delivery,"Presentation, performance, speech"
Video record,"Film, capture, document"
Stage fear,"Performance anxiety, nervousness, jitters"
Target audience,"Intended viewers, spectators, listeners"
Body Language,"Nonverbal communication, gestures, posture"
Modulate,"Adjust, vary, change"
Breathing,"Respiration, inhalation, exhalation"
Powerpoint,"Slides, visual aids, presentation software"
Language,"Speech, communication, vocabulary"
Jargon,"Technical language, specialized terminology"
Bilingual,"Multilingual, fluent in two languages"
Audible,"Hearable, clear, loud"
Vocalics,"Voice quality, vocal delivery, tone"
Pronounce,"Articulate, enunciate, speak clearly"
Presenter mode,"Presentation mode, display mode, speaker view"
Introduction,"Opening, beginning, preamble"
Illustrations,"Examples, instances, demonstrations"
Interactions,"Engagements, exchanges, dialogues"
Summing up,"Conclusion, wrapping up, summarizing"
Feedback,"Response, evaluation, critique"
Handouts,"Printed materials, documents, pamphlets"
Downloadable links,"Web links, online resources, URLs"
Mobile number,"Cellphone number, contact info, phone contact"
Email,"Electronic mail, electronic address, email address"
Further reading,"Additional resources, supplementary materials"
Express thanks,"Show appreciation, convey gratitude"
Questions,"Inquiries, queries, interrogations"
Suggestions,"Recommendations, proposals, advice"
Comments,"Remarks, observations, feedback"
Criticism,"Censure, disapproval, negative feedback"
Program and Programming,"Code, software development, application development"
Hardware,"Physical components, machinery, devices"
Software,"Applications, programs, operating systems"
Instructions,"Commands, directives, guidelines"
Data,"Information, input, values"
Functionalities,"Operations, tasks, capabilities"
User(s),"End users, individuals, consumers"
Natural Languages,"Human languages, spoken languages"
Syntax,"Grammar, structure, rules"
Semantics,"Meaning, interpretation, significance"
Programming Languages,"Coding languages, scripting languages"
Translator,"Compiler, interpreter, converter"
Machine Language,"Binary code, assembly language"
CPU,"Central processing unit, processor"
Assemblers,"Assembly programs, assembly code"
Interpreters,"Interpretation programs, script runners"
Compilers,"Compilation programs, code converters"
Generation Languages,"Machine languages, assembly languages"
Symbols,"Characters, signs, icons"
Mnemonics,"Memory aids, memory devices"
High-Level Languages,"Advanced languages, sophisticated languages"
3GL Languages,"Third generation languages, advanced languages"
4GL Languages,"Fourth generation languages, advanced languages"
Paradigm,"Model, framework, approach"
Imperative Programming,"Command-based programming, procedural programming"
Declarative Programming,"Statement-based programming, descriptive programming"
Functional Programming,"Functional-style programming, lambda programming"
Logic Programming,"Logical-style programming, inference programming"
Object-Oriented Programming,"OOP, Object-based programming, class-based programming"
Objects,"Instances, entities, components"
Methodology,"Approach, method, technique"
Key Concepts,"Main ideas, fundamental principles"
Execution,"Running, processing, implementation"
Result,"Outcome, output, consequence"
Procedure Oriented Programming,"Sequential programming, traditional programming"
Object Oriented Programming,"OOP, Object-based programming, modern programming"
Functions,"Procedures, subroutines, methods"
Global Data,"Shared data, program-wide variables"
Local Data,"Function-specific data, scoped variables"
Modularization,"Modular approach, function decomposition"
Top-down Approach,"Sequential approach, step-by-step programming"
Object,"Program components, encapsulated data"
Data Focus,"Data-centric, data-driven programming"
Data Hiding,"Encapsulation, privacy, information hiding"
Communication,"Interaction, message passing, method calls"
Bottom-up Approach,"Modular approach, component-based programming"
Access Specifiers,"Public, private, protected access"
Data Security,"Data protection, access control, security"
Overloading,"Function overloading, operator overloading"
Programming Languages,"C, Cobol, Fortran, Pascal"
Comparison,"Contrast, differences, juxtaposition"
Sequential Programming,"Step-by-step programming, linear programming"
Modular Approach,"Modular design, component-based architecture"
Encapsulation,"Data encapsulation, abstraction"
Benefits of OOP,"Advantages, OOP principles, OOP applications"
Real world phenomena,"Abstract concepts, theoretical scenarios"
State and behavior,"Attributes and actions, characteristics"
Large projects,"Scale of projects, project management"
Reliability,"Dependability, robustness"
Testability,"Testing techniques, quality assurance"
Abstraction,"Simplification, generalization"
Encapsulation,"Data hiding, protection"
Object division,"Object segmentation, problem decomposition"
Upgrade/modify,"Updateability, software maintenance"
Inheritance,"Subclassing, subclass inheritance"
Polymorphism,"Method overriding, dynamic binding"
Reusability,"Code recycling, modular programming"
Software complexity,"Program intricacy, code complexity"
Message passing,"Inter-object communication, data exchange"
Maintainability,"Software upkeep, program maintenance"
Code reusability,"Reusable code segments, modular design"
Upgrading platforms,"Migration, platform transition"
Small code functions,"Modularization, function decomposition"
Abstraction,"Generalization, abstraction layers"
Encapsulation,"Information hiding, data protection"
Secure programs,"Software security, data integrity"
Rapid development,"Agile development, quick prototyping"
Instance management,"Object instantiation, class instances"
OOP languages,"Programming languages, language types"
OOP applications,"Application areas, software domains"
Image Processing,"Image manipulation, visual recognition"
Pattern Recognition,"Pattern detection, data analysis"
Concurrent Engineering,"Collaborative design, simultaneous processing"
CAD/CAM,"Design automation, manufacturing integration"
Computer Aided Teaching,"Educational software, e-learning systems"
Intelligent Systems,"AI applications, machine learning algorithms"
Database Management,"Data storage, query processing"
Web-based Applications,"Internet applications, online platforms"
Distributed Computing,"Networked systems, parallel processing"
Component-based Apps,"Software components, modular architectures"
Business Process Re-engineering,"Process optimization, workflow management"
Enterprise Resource Planning,"ERP systems, business management"
Data security,"Information protection, cybersecurity"
Mobile Computing,"Portable applications, wireless technologies"
Data Warehouse,"Data storage solutions, data analysis"
Parallel Computing,"Concurrent processing, parallel algorithms"
Object Oriented Programming Paradigm,"OOP Principles, Programming Paradigm"
Simula,"Programming languages, Software Development"
Smalltalk,"Object-oriented languages, Computer Science"
Eiffel,"Java, C++, Programming Syntax"
Java,"Programming Languages, Software Engineering"
C++,"Programming Concepts, Object Creation"
Object Pascal,"Visual Basic, C#, Syntax Complexity"
Visual Basic,"Programming Development, C# Syntax"
C#,"Object Creation, Programming Constructs"
Objects,"Real-world representation, Data Structures"
Object-oriented programming,"Programming Constructs, Software Design"
Attributes,"Instance variables, Program Components"
Functions,"Methods, Operations, Programming Techniques"
Methods,"Object Behaviors, Programming Constructs"
Classes,"Object Groups, Program Structures"
Instantiation,"Object Creation, Instance Initialization"
State,"Object Values, Memory Management"
Encapsulation,"Data Abstraction, Programming Flexibility"
Inheritance,"Object Extension, Class Hierarchy"
Polymorphism,"Method Overriding, Class Features"
Characteristics of OOPs,"Object-oriented principles, OOPs principles"
Object,"Instance, entity, instance of a class"
Classes,"Templates, blueprints, structures"
Polymorphism,"Many forms, multiple shapes, varied behavior"
Inheritance,"Subclassing, extending, derived classes"
Reusability,"Code reuse, extending functionality, modularity"
Data Abstraction,"Encapsulation, information hiding, abstraction"
Dynamic Binding,"Late binding, runtime linking, method resolution"
Message Passing,"Inter-object communication, method invocation"
Class,"Category, group, collection"
Encapsulation,"Data hiding, wrapping, bundling"
Compile Time Polymorphism,"Static polymorphism, method overloading"
Run Time Polymorphism,"Dynamic polymorphism, method overriding"
Inheritance Types,"Single, multiple, multilevel, hierarchical"
Base Class,"Parent class, superclass, original class"
Derived Class,"Subclass, child class, extended class"
Wrapping,"Packaging, bundling, enclosing"
Abstraction,"Simplification, hiding complexities"
Dynamic Linking,"Run-time linking, late binding"
Method Invocation,"Function call, method execution"
Communication,"Interaction, information exchange"
